framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,262144,0.047831039428710934,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,524288,0.02161664009094238,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,524288,0.08566783905029297,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,1048576,0.028272640705108643,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,1048576,0.08546303749084473,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,2097152,0.046049280166625975,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,2097152,0.058613758087158206,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,4194304,0.12976127624511719,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,4194304,0.13692928314208985,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,8388608,0.2117836761474609,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,8388608,0.23453695297241212,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,16777216,0.3700223922729492,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,16777216,0.4055449676513672,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,33554432,0.5997158432006836,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,33554432,0.6697267150878906,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,67108864,1.178081283569336,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,67108864,1.3223423767089844,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,134217728,2.1856153869628905,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,134217728,2.515169219970703,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,268435456,4.231649169921875,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,268435456,4.8465509033203125,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,536870912,8.259993896484374,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,536870912,9.4835302734375,vllm_eager
