framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,8,128,1,float16,float16,7,0.012800000607967377
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,8,128,1,float16,float16,15,0.012629333883523941
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,8,128,1,float16,float16,31,0.012800000607967377
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,8,128,1,float16,float16,63,0.012800000607967377
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,8,128,1,float16,float16,127,0.012800000607967377
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,8,128,1,float16,float16,255,0.018602666755517323
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,8,128,1,float16,float16,511,0.018944000204404194
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,8,128,1,float16,float16,1023,0.04727466901143392
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,8,128,1,float16,float16,2047,0.02491733431816101
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,8,128,1,float16,float16,4095,0.030037333567937214
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,8,128,1,float16,float16,8191,0.040448000033696495
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,8,128,1,float16,float16,16383,0.06451199948787689
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,1,128,1,float16,float16,1,0.012800000607967377
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,1,128,1,float16,float16,3,0.012800000607967377
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,1,128,1,float16,float16,7,0.012800000607967377
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,1,128,1,float16,float16,15,0.012970666090647379
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,1,128,1,float16,float16,31,0.012800000607967377
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,float16,1023,0.051541333397229515
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,1,128,1,float16,float16,63,0.012970666090647379
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,float16,511,0.034474665919939675
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,float16,3,0.023381332556406658
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,1,128,1,float16,float16,127,0.013141332815090815
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,1,128,1,float16,float16,255,0.018944000204404194
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,1,128,1,float16,float16,1023,0.020479999482631683
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,1,128,1,float16,float16,8191,0.037717332442601524
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,1,128,1,float16,float16,511,0.019626667102177937
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,1,128,1,float16,float16,16383,0.04266666869322459
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,1,128,1,float16,float16,4095,0.0266239990790685
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,1,128,1,float16,float16,2047,0.023039999107519787
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,float16,31,0.023552000522613525
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,2,128,1,float16,float16,1,0.018432000031073887
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,2,1,64,2,128,1,float16,float16,3,0.018602666755517323
